dutch,english,topic,section,example
dat,that,Topic 1,Basic Words,Ik zie dat.
dit,this,Topic 1,Basic Words,Ik zie dit.
dorp,village,Topic 1,Basic Words,Ik zie dorp.
een,a/an,Topic 1,Basic Words,Ik ga een.
één,one,Topic 1,Basic Words,Ik zie één.
gaan,to go,Topic 1,Basic Words,Ik zie gaan.
hij,he,Topic 1,Basic Words,Ik zie hij.
ik,I,Topic 1,Basic Words,Ik zie ik.
in,in,Topic 1,Basic Words,Ik zie in.
jaar,year,Topic 1,Basic Words,Ik zie jaar.
komen,to come,Topic 1,Basic Words,Ik ga komen.
leren,to learn,Topic 1,Basic Words,Ik ga leren.
maand,month,Topic 1,Basic Words,Ik zie maand.
naar,to,Topic 1,Basic Words,Ik zie naar.
Nederland,Netherlands,Topic 1,Basic Words,Ik zie Nederland.
Nederlands,Dutch,Topic 1,Basic Words,Ik zie Nederlands.
niet,not,Topic 1,Basic Words,Ik zie niet.
nu,now,Topic 1,Basic Words,Ik zie nu.
school,school,Topic 1,Basic Words,Ik zie school.
stad,city,Topic 1,Basic Words,Ik zie stad.
uit,from/out,Topic 1,Basic Words,Ik zie uit.
werken,to work,Topic 1,Basic Words,Ik ga werken.
winkel,store,Topic 1,Basic Words,Ik zie winkel.
wonen,to live,Topic 1,Basic Words,Ik ga wonen.
ze,they,Topic 1,Basic Words,Ik zie ze.
zijn,to be,Topic 1,Basic Words,Ik zie zijn.
achternaam,surname/last name,Topic 1,Personal Information,Ik zie achternaam.
al,already,Topic 1,Personal Information,Ik zie al.
en,and,Topic 1,Personal Information,Ik ga en.
hallo,hello,Topic 1,Personal Information,Ik zie hallo.
hebben,to have,Topic 1,Personal Information,Ik ga hebben.
heten,to be called,Topic 1,Personal Information,Ik ga heten.
hoe,how,Topic 1,Personal Information,Ik zie hoe.
hoelang,how long,Topic 1,Personal Information,Ik zie hoelang.
ja,yes,Topic 1,Personal Information,Ik zie ja.
je,you/your,Topic 1,Personal Information,Ik zie je.
jij,you,Topic 1,Personal Information,Ik zie jij.
kloppen,to be correct,Topic 1,Personal Information,Ik ga kloppen.
les,lesson,Topic 1,Personal Information,Ik zie les.
leuk,nice/fun,Topic 1,Personal Information,Ik zie leuk.
mijn,my,Topic 1,Personal Information,Ik zie mijn.
Nederlands,Dutch,Topic 1,Personal Information,Ik zie Nederlands.
oké,okay,Topic 1,Personal Information,Ik zie oké.
ook,also,Topic 1,Personal Information,Ik zie ook.
spellen,to spell,Topic 1,Personal Information,Ik ga spellen.
telefoonnummer,phone number,Topic 1,Personal Information,Ik zie telefoonnummer.
vandaan,from,Topic 1,Personal Information,Ik zie vandaan.
voornaam,first name,Topic 1,Personal Information,Ik zie voornaam.
waar,where,Topic 1,Personal Information,Ik zie waar.
wat,what,Topic 1,Personal Information,Ik zie wat.
adres,address,Topic 1,Filling out a form,Ik zie adres.
april,April,Topic 1,Filling out a form,Ik zie april.
e-mailadres,email address,Topic 1,Filling out a form,Ik zie e-mailadres.
formulier,form,Topic 1,Filling out a form,Ik zie formulier.
geboortedatum,date of birth,Topic 1,Filling out a form,Ik zie geboortedatum.
geboren,born,Topic 1,Filling out a form,Ik ga geboren.
gemeente,municipality,Topic 1,Filling out a form,Ik zie gemeente.
gemeentehuis,town hall,Topic 1,Filling out a form,Ik zie gemeentehuis.
goedemorgen,good morning,Topic 1,Filling out a form,Ik ga goedemorgen.
helpen,to help,Topic 1,Filling out a form,Ik ga helpen.
invullen,to fill in,Topic 1,Filling out a form,Ik ga invullen.
kunnen,can,Topic 1,Filling out a form,Ik ga kunnen.
man,man,Topic 1,Filling out a form,Ik zie man.
meneer,sir,Topic 1,Filling out a form,Ik zie meneer.
mobiel,mobile,Topic 1,Filling out a form,Ik zie mobiel.
nationaliteit,nationality,Topic 1,Filling out a form,Ik zie nationaliteit.
nieuw,new,Topic 1,Filling out a form,Ik zie nieuw.
op,at,Topic 1,Filling out a form,Ik zie op.
postcode,postcode,Topic 1,Filling out a form,Ik zie postcode.
u,you [formal],Topic 1,Filling out a form,Ik zie u.
uw,your [formal],Topic 1,Filling out a form,Ik zie uw.
vrouw,woman,Topic 1,Filling out a form,Ik zie vrouw.
