Vragen,Antwoorden,Questions_EN,Answers_EN
"In wat voor huis woon je?","Ik woon in een rijtjeshuis","What kind of house do you live in?","I live in a terraced house"
"Hoeveel kamers heeft je huis?","Mijn huis heeft vier kamers","How many rooms does your house have?","My house has four rooms"
"Heb je een balkon of een tuin?","Ik heb een tuin","Do you have a balcony or a garden?","I have a garden"
"In wat voor buurt woon je?","Ik woon in een rustige buurt","What kind of neighborhood do you live in?","I live in a quiet neighborhood"
"Met wie woon je?","Ik woon met mijn gezin","Who do you live with?","I live with my family"
"Ben je blij met je huis?","Ja, ik ben blij met mijn huis","Are you happy with your house?","Yes, I am happy with my house"
"In wat voor huis wil je graag wonen?","Ik wil graag in een groot appartement wonen","What kind of house would you like to live in?","I would like to live in a large apartment"
"Hoeveel huur wil je betalen?","Ik wil maximaal 1000 euro huur betalen","How much rent do you want to pay?","I want to pay a maximum of 1000 euros rent"
"Hoe groot is je huis?","Mijn huis is ongeveer 100 vierkante meter","How big is your house?","My house is about 100 square meters"
"Welke meubels heb je in je huis?","Ik heb een bank, een tafel, een tv-meubel, twee stoelen en een bureau","What furniture do you have in your house?","I have a couch, a table, a TV cabinet, two chairs and a desk"
"Zijn je meubels groot of klein?","Mijn meubels zijn klein","Are your furniture big or small?","My furniture is small"
"Vind je je meubels mooi?","Ja, ik vind mijn meubels mooi","Do you think your furniture is beautiful?","Yes, I think my furniture is beautiful"
"Zijn jouw meubels nieuw of tweedehands?","Sommige meubels zijn nieuw en sommige meubels zijn tweedehands","Are your furniture new or second-hand?","Some furniture is new and some furniture is second-hand"
"Welke kleuren heb je in je huis?","Ik heb pastelkleuren in mijn huis","What colors do you have in your house?","I have pastel colors in my house"
"Heb je veel licht in je huis?","Ja, ik heb veel licht in mijn huis","Do you have a lot of light in your house?","Yes, I have a lot of light in my house"
"Heb je een huurwoning of een koopwoning?","Ik heb een koopwoning","Do you have a rental or an owned house?","I have an owned house"
"Woon je in een stad of in een dorp?","Ik woon in een kleine stad","Do you live in a city or in a village?","I live in a small city"
