id,type,text,question,option1,option2,option3,option4,correct
1,text,"Theo woont in de gemeente Rommeldam. Hij heeft een huis gehuurd bij Woningbureau Rommelaar. Hij krijgt een brief van de gemeente.

Rommeldam wil het regenwater en het afvalwater uit uw huis beter scheiden. Regenwater is schoon. Het afvalwater is vies en moet gezuiverd worden.

Hebt u een koophuis? Dan moet u hier misschien zelf iets aan doen. U moet het regenwater, bijvoorbeeld vanaf uw dak, scheiden van het afvalwater uit uw woning.

Hebt u een huurhuis? Dan gaat de gemeente het systeem controleren en gratis verbeteren.

Vragen?
Hebt u vragen over de verbeteringen die u moet aanbrengen?
Neem dan contact op met de gemeente Rommeldam.
Ons telefoonnummer is: 073 – 88321191.
Ons emailadres is: rioolbuis@rommeldam.nl","Wie is de eigenaar van de woning van Theo?","Theo.","De gemeente Rommeldam.","Woningbureau Rommelaar.","Rioolbuis.",2
2,text,"Rommeldam wil het regenwater en het afvalwater uit uw huis beter scheiden. Regenwater is schoon. Het afvalwater is vies en moet gezuiverd worden.

Hebt u een koophuis? Dan moet u hier misschien zelf iets aan doen.

Hebt u een huurhuis? Dan gaat de gemeente het systeem controleren en gratis verbeteren.

U kunt subsidie ontvangen, als u het systeem moet verbeteren.","Het huis van Theo is oud. Het afvalwater uit zijn huis en het regenwater moeten beter gescheiden worden. Moet hij zelf de verbeteringen betalen?","Ja, de controle is gratis, maar hij moet de verbeteringen zelf betalen.","Nee, voor Theo zijn de controle en de verbeteringen gratis.","Hij moet de verbeteringen zelf betalen, maar hij krijgt subsidie.",,1
3,text,"Vragen?
Hebt u vragen over de verbeteringen die u moet aanbrengen?
Neem dan contact op met de gemeente Rommeldam.
Ons telefoonnummer is: 073 – 88321191.
Ons emailadres is: rioolbuis@rommeldam.nl","Theo begrijpt niet goed wat er gaat gebeuren. Wat moet hij doen?","Hij kan kiezen: hij kan bellen of een e-mail sturen naar de gemeente.","Hij moet bellen.","Hij moet een e-mail sturen.",,0
4,text,"Janneke heeft een hond. Zij krijgt een formulier van de gemeente.

Hebt u een hond? Dan moet u dat melden bij de gemeente.
Als u geen hondenbelasting betaalt, kunt u een boete krijgen.
Gebruik dit formulier of ga op internet naar www.rommeldam.nl/belasting.

Aangiftebiljet hondenbelasting
Naam: ............................
Adres: ….........................
Postcode/woonplaats: ….........................
BSN: ...........................

Doet hierbij aangifte als houder van: (aankruisen)
⃝ één hond € 78,84 per jaar
⃝ twee honden € 118,56 per jaar
⃝ drie honden € 158,16 per jaar
⃝ een vrijgestelde* hond € 0,00

Hebt u een vrijgestelde hond* stuur dan een kopie mee van het bewijsstuk (bijvoorbeeld een certificaat).

Formulier opsturen naar:
Afdeling Belastingen Rommeldam, Postbus 12347, 5210 VZ Rommeldam

* Een vrijgestelde hond is een hulp-hond of blindengeleidehond.","Janneke is blind en zij heeft een blindengeleidehond. Wat moet zij doen met dit formulier van de gemeente?","Zij hoeft niets te doen, zij kan het formulier weggooien.","Zij moet het formulier invullen en hondenbelasting betalen.","Zij moet het formulier invullen, maar zij hoeft geen belasting te betalen.","Zij moet het formulier invullen en zij moet een boete betalen.",2
5,text,"Doet hierbij aangifte als houder van: (aankruisen)
⃝ één hond € 78,84 per jaar
⃝ twee honden € 118,56 per jaar
⃝ drie honden € 158,16 per jaar
⃝ een vrijgestelde* hond € 0,00

* Een vrijgestelde hond is een hulp-hond of blindengeleidehond.","De vriendin van Janneke heeft ook een hond. Zij moet hondenbelasting betalen. Hoeveel belasting moet zij betalen?","De vriendin hoeft geen belasting te betalen, de hond is vrijgesteld.","De vriendin moet € 78,84 per jaar betalen.","De vriendin moet € 78,84 per jaar betalen en ook een boete.",,1
6,text,"Ahmed krijgt een brief over vrijstellingen voor het inburgeringsexamen.

Beste Ahmed

U bent inburgeringsplichtig. U moet inburgeringsexamens afleggen. Soms kunt u een vrijstelling krijgen. Welke vrijstellingen zijn er?

Gedeeltelijke vrijstelling
Een gedeeltelijke vrijstelling betekent dat u een deel van het inburgeringsexamen niet hoeft te doen. Andere delen van het inburgeringsexamen moet u nog wel doen. Bent u geslaagd voor die andere delen? Dan voldoet u aan de inburgeringsplicht.

Gehele vrijstelling
Een gehele vrijstelling betekent dat u het hele inburgeringsexamen niet hoeft te doen. U wordt dan vrijgesteld van de inburgeringsplicht.

Hebt u een diploma behaald in Nederland? Dan krijgt u misschien een gehele vrijstelling. Krijgt u een gehele vrijstelling? Dan kunt u geen inburgeringsdiploma krijgen.

Tijdelijke vrijstelling
Doet u nu een Nederlandstalige opleiding (MBO of HBO) waarvoor u een gehele vrijstelling kunt krijgen? Dan kunt u nu een tijdelijke vrijstelling krijgen.

Haalt u het MBO-diploma? Dan kunt u de tijdelijke vrijstelling veranderen in een gehele vrijstelling.","Ahmed is inburgeringsplichtig. Hij is nog niet geslaagd voor zijn examens. Hij doet een MBO-opleiding voor kok. Volgend jaar krijgt hij zijn MBO-diploma. Welke vrijstelling heeft Ahmed?","Hij heeft een tijdelijke vrijstelling, hij moet zijn inburgeringsexamen over 1 jaar doen.","Hij heeft een tijdelijke vrijstelling. Hij kan later een volledige vrijstelling krijgen.","Hij heeft een volledige vrijstelling.","Hij heeft een gedeeltelijke vrijstelling.",1
7,text,"Tijdelijke vrijstelling
Doet u nu een Nederlandstalige opleiding (MBO of HBO) waarvoor u een gehele vrijstelling kunt krijgen? Dan kunt u nu een tijdelijke vrijstelling krijgen.

Haalt u het MBO-diploma? Dan kunt u de tijdelijke vrijstelling veranderen in een gehele vrijstelling.","Wat gebeurt er, als Ahmed niet slaagt voor zijn MBO-opleiding?","Dan krijgt hij geen vrijstelling voor het inburgeringsexamen.","Dan krijgt hij een gedeeltelijke vrijstelling voor het inburgeringsexamen.","Dan krijgt hij een gehele vrijstelling voor het inburgeringsexamen.",,0
8,text,"Mirjam leest iets over vrijwilligerswerk.

Divers zoekt vrijwilligers om eenzame, oude, zieke en zwakke mensen te helpen.

Zoek je een stageplaats of gewoon vrijwilligerswerk? Wij zoeken gemotiveerde en energieke mensen die aan de slag willen in Rommeldam.

Woon je in Rommeldam?
Houd je van mensen?
Ben je 18 jaar of ouder en heb je tijd over?
Kun je minimaal 4 uur en maximaal 20 uur per week werken?
Kun je minimaal 4 weken als vrijwilliger bij ons werken?
Zoek je een stageplaats in verband met je opleiding of school?
Wil je een taalmaatje zijn voor mensen die nog niet zo goed Nederlands spreken?

Onze coördinator geeft je informatie en bekijkt je mogelijkheden. Op werkdagen van maandag tot en met donderdag kun je contact opnemen via telefoonnummer 073 – 9934345. Of je stuurt een mailtje naar info@zorgrommeldam.com

Jongeren die een stageplaats zoeken voor hun school/opleiding kunnen zich ook aanmelden. Divers zet zich in om jongeren vooruit te helpen in hun ontwikkeling en werkt daarom samen met alle regionale scholen van Rommeldam.","Mirjam moet bij haar opleiding een stage lopen van vier weken en 16 uur. Kan zij dat bij Divers doen?","Ja, want het minimum aantal uren bij Divers is 4 uur per week.","Nee, want het minimum aantal uren bij Divers is 20 uur per week.","Nee, want het maximum aantal uren bij Divers is 4 uren per week.",,0
9,text,"Onze coördinator geeft je informatie en bekijkt je mogelijkheden. Op werkdagen van maandag tot en met donderdag kun je contact opnemen via telefoonnummer 073 – 9934345. Of je stuurt een mailtje naar info@zorgrommeldam.com","Mirjam is vrijdag vrij. Zij wil dan de coördinator bellen. Is dat mogelijk?","Nee, want dan is Divers niet telefonisch bereikbaar.","Ja, je kunt dan bellen met 073 – 9934345.","Ja, want op vrijdag is Divers gewoon open.",,0
10,text,"Jongeren die een stageplaats zoeken voor hun school/opleiding kunnen zich ook aanmelden. Divers zet zich in om jongeren vooruit te helpen in hun ontwikkeling en werkt daarom samen met alle regionale scholen van Rommeldam.","Mirjam wil graag een stageplek bij Divers. Geeft Divers jongeren een kans op een stageplek?","Nee, Divers wil het liefst oude en ervaren vrijwilligers.","Ja, Divers wil jonge mensen graag helpen met hun carrière.","Nee, Divers zoekt taalmaatjes – dat zijn oudere mensen.",,1
11,text,"Michael schrijft een e-mail aan zijn werkloze vriend Diego. Hij wil Diego helpen om werk te vinden. Michael heeft een idee.

Hoi Diego

Hi kameraad, hoe is het met je? Vervelend voor je dat je geen werk kunt vinden. Hoe lang zit je nu al zonder? Ik hoop dat je binnenkort iets vindt.

Alleen maar voor de televisie hangen en af en toe naar de sportclub gaan, nee dat lijkt mij niks.

Ik heb een advertentie gezien van DIVERS, dat is een bedrijf in Rommeldam, waar je woont.

DIVERS zoekt vrijwilligers die ouderen en zieken helpen met huishouden en boodschappen doen. Je moet even op hun website kijken. Daar vind je meer informatie over hoe je kunt helpen en wat voor werk je wanneer precies kunt doen. Ze hebben van alles.

Kijk hier: www.zorgdivers.com

Werken in de zorg is misschien niet je echte droombaan, je wilt het liefst bij de politie werken, ik weet het. Misschien is de politie iets voor de verre, verre toekomst. Maar in de zorg kun je snel aan de slag, eerst als vrijwilliger, later ook betaald. Denk ik. Nou, ja, het is maar een idee van mij.

Laten we gauw weer eens samen naar het café gaan. Biertje! Ik hoor van je.

Groetjes,
Michael.","Wat voor werk doet Diego?","Hij werkt bij de politie.","Hij werkt niet.","Hij werkt als vrijwilliger.",,1
12,text,"Ik heb een advertentie gezien van DIVERS, dat is een bedrijf in Rommeldam, waar je woont.

DIVERS zoekt vrijwilligers die ouderen en zieken helpen met huishouden en boodschappen doen.","Welk advies heeft Michael voor Diego?","Hij adviseert Diego om oude en zieke mensen te helpen.","Hij adviseert Diego om naar Rommeldam te verhuizen.","Hij adviseert Diego om bij de politie te gaan werken.","Hij adviseert Diego om bij de sportclub te gaan werken.",0
13,text,"Laten we gauw weer eens samen naar het café gaan. Biertje! Ik hoor van je.

Groetjes,
Michael.","Wat voor werk doet Michael?","Hij werkt in een café.","Hij werkt bij de politie.","Hij werkt bij DIVERS.","Dat is niet duidelijk.",3
14,text,"Karen ziet op internet een bericht over een wegafsluiting.

WEEKENDAFSLUITING A10 tussen knooppunt Amstel en knooppunt Watergraafsmeer richting Zaandam. Van vrijdagavond 13 december 21.00 uur tot maandagochtend 16 december 06.00 uur.

Komend weekend is de A10 richting Zaandam afgesloten voor verkeer in verband met vernieuwing van het wegdek. De weg is afgesloten tussen de knooppunten Amstel en Watergraafsmeer. Moet u in het weekend naar Zaandam?

Verkeersborden geven vanaf knooppunt Amstel een alternatieve route aan. Rekent u op files en vertragingen van minimaal 30 minuten.

U kunt ook kiezen voor het openbaar vervoer (metro, bus en trein).

Kijk voor meer informatie op: www.vanAnaarBeter.nl/wegwerkzaamheden","Karen leest dat de A10 wordt afgesloten. Waarom wordt de weg afgesloten?","Omdat er een file is tussen de knooppunten Amstel en Watergraafsmeer.","Omdat er op vrijdagavond een file is bij knooppunt Amstel.","Omdat het asfalt vernieuwd moet worden.",,2
15,text,"WEEKENDAFSLUITING A10 tussen knooppunt Amstel en knooppunt Watergraafsmeer richting Zaandam. Van vrijdagavond 13 december 21.00 uur tot maandagochtend 16 december 06.00 uur.

Komend weekend is de A10 richting Zaandam afgesloten voor verkeer in verband met vernieuwing van het wegdek.

Verkeersborden geven vanaf knooppunt Amstel een alternatieve route aan. Rekent u op files en vertragingen van minimaal 30 minuten.

U kunt ook kiezen voor het openbaar vervoer (metro, bus en trein).","Karen wil op zondag 15 december naar haar vriendin in Zaandam. Kan dat?","Ja, maar zij kan op die dag niet met de auto reizen.","Ja, maar zij moet met het openbaar vervoer (trein, bus, metro) reizen.","Ja, maar er zullen files zijn. Het is verstandig om met het openbaar vervoer te gaan.",,2
16,text,"Patrick is lid geworden van de politieke partij GroenLinks. Hij krijgt een e-mail van Jesse.

Hoi Patrick

Dank je wel voor je belangstelling voor GroenLinks.

Wij zijn trots dat veel jonge en moderne mensen zoals jij zich bij ons aansluiten.

Je bent nu 17 jaar en nog niet stemgerechtigd. Dat duurt nog 1 jaar.

Maar je kunt je stem binnen onze politieke beweging wel laten horen.

Je kunt naar onze meet-ups komen, je kunt groene en linkse ideeën helpen verspreiden.

GroenLinks wil en kan veel veranderen in Nederland.
Het milieu heeft bescherming nodig.
Jonge mensen en nieuwkomers hebben steun en onderwijs nodig.
Iedereen heeft recht op een mooi en gezond leven.

Wij willen dit samen met jou bereiken.

Wij gaan je via appjes, mails en Facebook-berichten sturen: zo kun je op de hoogte blijven van politiek belangrijke zaken.

We gaan je zien! En jij gaat GroenLinks zien. Onze beweging is niet te stoppen.

Tot gauw,
Jesse","Hoe kan Patrick lid worden van de politieke partij GroenLinks?","Hij moet nog 1 jaar wachten.","Hij moet een e-mail sturen.","Hij moet appjes, mails en Facebook-berichten sturen.","Patrick is al lid, hij hoeft niets meer te doen.",3
